time,RF_GRF_x,RF_GRF_y,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel
0.112,0.0,0.0,0.0,-0.2084796627142043,1.4504937056222245,0.4917388857339526,-2.125547209635009,0.7922843096081846,-1.2434263929202993,0.2590363416212966,1.5485381630055972,0.20019317537924214,2.752991984201314
0.114,0.0,0.0,0.0,-0.20559941393776687,1.440124388218708,0.4881076311631672,-1.8156272853926958,0.789665449225515,-1.3094301913348372,0.26212922410272915,1.5464412407162897,0.20556510869561612,2.685966658186989
0.116,0.0,0.0,0.0,-0.20275009143437406,1.4246612516964074,0.48521349511728473,-1.447068022941228,0.786881813514426,-1.391817855544486,0.2652172106638592,1.543993280565037,0.21080462507521083,2.6197581897973583
0.11800000000000001,0.0,0.0,0.0,-0.1999418828422634,1.4041042960553223,0.48317375627272396,-1.019869422280384,0.7839006347433279,-1.4905893855490238,0.2682996118541041,1.541200595122444,0.21591330626969352,2.554340597241342
0.12,0.0,0.0,0.0,-0.20257145772392834,-1.3147874408324656,0.4846597898827202,0.743016804998109,0.7868197924617217,1.4595788591968972,0.27137575004072395,1.5380690933099184,0.22089268681540636,2.4896902728564205
0.122,0.0,0.0,0.0,-0.1999418828422634,1.3147874408324656,0.48317375627272396,-0.743016804998109,0.7839006347433279,-1.4595788591968972,0.27444495847475464,1.534604217015345,0.2257442587907203,2.42578598765697
0.124,0.0,0.0,0.0,-0.19730938786830912,1.3162474869771457,0.48167946056061534,-0.7471478560543143,0.7810641425943095,-1.418246074509244,0.2775065815787449,1.530811551995137,0.23046947172601634,2.3626064676480207
0.126,0.0,0.0,0.0,-0.19467374224538647,1.3178228114613249,0.4801769281228367,-0.7512662188893238,0.7783093695049449,-1.3773865446822797,0.2805599749064418,1.5266966638484425,0.23506973415656585,2.300131215274753
0.128,0.0,0.0,0.0,-0.19203473443301616,1.3195039061851543,0.4786661781669481,-0.7553749779442842,0.7756353989344582,-1.3369852852433417,0.28360450417537586,1.5222646344670299,0.2395464183069684,2.23834207520128
0.13,0.0,0.0,0.0,-0.1893921718898046,1.321281271605787,0.4771472240557257,-0.7594770556112185,0.773041343643227,-1.2970276456156227,0.28663954533638997,1.5175205805070535,0.243900860825457,2.1772212592442997
0.132,0.0,0.0,0.0,-0.18674588151383603,1.3231451879842786,0.475620073593931,-0.7635752308973454,0.7705263455071036,-1.2574990680616627,0.2896644849349781,1.5124697992940639,0.2481343628855673,2.116751030055153
0.134,0.0,0.0,0.0,-0.18409570778577616,1.325086864029934,0.47408472991071055,-0.7676718416102235,0.7680895720005319,-1.2183867532858939,0.2926787192252074,1.5071171451146448,0.25224819433941176,2.0569157269222234
0.136,0.0,0.0,0.0,-0.18144151236551645,1.327097710129857,0.4725411918340695,-0.7717690383205189,0.7657302150432487,-1.1796784786415881,0.29568165405357333,1.501467414182972,0.2562435950134629,1.9977003370255653
0.138,0.0,0.0,0.0,-0.17878317481182973,1.329168776843359,0.4709894540646297,-0.7758688847198936,0.7634474912654151,-1.141361888916781,0.29867270541721946,1.4955256818230678,0.2601217742092485,1.9390895978927958
